※一般送配電事業者各社の公表データを元に作成しています,,,,,,,,,,,,
※四捨五入等の関係で合計が合わないことがあります,,,,,,,,,,,,
単位[MWh],,,,,,,,,,,,
月日,時刻,需要,原子力,地熱,水力,火力,バイオマス,風力実績,風力抑制量,太陽光実績,太陽光抑制量,揚水
2020/5/1,0時,67786.9,6453,292,7827.8,50451.4,1466,717.7,0,0,0,583
2020/5/1,1時,67206.1,6449,293,7982.8,49542.7,1466,692.6,0,0,0,780
2020/5/1,2時,69936.5,6454,294,8575.8,51379.2,1466,746.5,0,0,0,1019
2020/5/1,3時,72523,6452,293,8985.8,53051.8,1462,786.4,0,0,0,1493
2020/5/1,4時,73213.5,6453,294,9312.8,53241.3,1463,848.4,0,5,0,1600
2020/5/1,5時,71086.4,6453,292,9080.8,51372.2,1454,850.4,0,705,0,880
2020/5/1,6時,70240,6455,292,8219.8,46975,1416,868.4,0,5952.8,0,60
2020/5/1,7時,72862,6454,293,7143.8,43348.6,1416,794.4,0,14683.2,0,-1266
2020/5/1,8時,79625.4,6455,291,7116.8,42263.5,1415.3,854.3,20,23885.5,232,-2662
2020/5/1,9時,83575.3,6452,291,6746.8,39785,1395.3,966.4,25,31469.8,335,-3523
2020/5/1,10時,84599.5,6452,292,6586.8,37734.9,1360.3,1027.2,30,36986.3,408,-5843
2020/5/1,11時,85353.9,6452,289,6518.8,37412.2,1357.3,1010.3,34,39979.3,603,-7660
2020/5/1,12時,83187.3,6451,289,6426.8,36730.5,1365.3,1009.3,38,40024.4,754,-9105
2020/5/1,13時,84318.9,6446,290,6534.8,37345.2,1350.3,1014.4,42,37460.2,598,-6128
2020/5/1,14時,82909.3,6451,289,6719.8,38543,1392.3,999.8,41,31904.4,380,-3389
2020/5/1,15時,81936.6,6449,290,7396.8,41670,1437.3,1003.9,33,23965.6,298,-278
2020/5/1,16時,82247.7,6446,288,8487.8,46330.6,1425.3,1015.8,0,14522.2,0,3725
2020/5/1,17時,81451.5,6440,290,9467.8,50531.6,1413.3,984.2,0,5115.6,0,7204
2020/5/1,18時,83093.4,6444,292,10542.8,54355.5,1409.3,920.4,0,433.4,0,8692
2020/5/1,19時,82382.4,6443,290,10711.8,54863.5,1406.3,898.8,0,2,0,7768
2020/5/1,20時,78599.6,6445,291,9741.8,53732.8,1404,855,0,0,0,6132
