※一般送配電事業者各社の公表データを元に作成しています,,,,,,,,,,,,
※四捨五入等の関係で合計が合わないことがあります,,,,,,,,,,,,
単位[MWh],,,,,,,,,,,,
月日,時刻,需要,原子力,地熱,水力,火力,バイオマス,風力実績,風力抑制量,太陽光実績,太陽光抑制量,揚水
2024/4/1,0時,68235.35,8406,315,11259.5,44411,2792,1165.85,0,0,0,-57
2024/4/1,1時,67604.8,8405,314,11379.5,44185,2767,1134.3,0,0,0,-525.5
2024/4/1,2時,70025.55,8406,315,11623.5,45907.5,2757.5,993.05,0,0,0,77
2024/4/1,3時,73107,8404,317,11843,47384.5,2756.5,926,0,0,0,1523.5
2024/4/1,4時,74891.05,8406,318,12070.5,48914,2758,864.55,0,0,0,1603
2024/4/1,5時,76502.7,8403.5,316,12058.5,49763,2752.5,864.7,0,124,0,2277.5
2024/4/1,6時,78796.05,8406,317,12059.5,48818,2729,948.05,0,3018,0,2553
2024/4/1,7時,82309.5,8409,319,11863,45018.5,2675,902.5,0,13366,0,-211.5
2024/4/1,8時,89187,8405.5,320.5,11889,41745.5,2644.5,944.5,1.5,26985.5,359.5,-3703
2024/4/1,9時,95141.5,8408,321.5,11717.5,36696.5,2590.5,1124.5,2,39808,784,-5497.5
2024/4/1,10時,96352,8405,317,11409.5,33669.5,2402,1358.5,55.5,46048,3546,-7261
2024/4/1,11時,97369.05,8405,313.5,11219.5,33486.5,2327.5,1436.55,180.5,48054.5,5772.5,-7862
2024/4/1,12時,93075.2,8405,315.5,10916,32117.5,2321.5,1549.2,461,45428.5,7209,-7938
2024/4/1,13時,95690.55,8405,321,11034,34284,2410,1769.05,504,42705,6055.5,-5229
2024/4/1,14時,94246.5,8406,320.5,11264.5,35496.5,2491,2020.5,366.5,38598,2999.5,-4333.5
2024/4/1,15時,93246.9,8405,319.5,11721.5,40612.5,2522,2173.9,176.5,30489.5,722,-2939.5
2024/4/1,16時,94075.85,8402,315,12589,50797,2499,2360.85,41,17006,236,123.5
2024/4/1,17時,94284.1,8397,315.5,13163.5,59566,2565,2334.6,0,4892.5,0,3059.5
2024/4/1,18時,96510.65,8398,314.5,13774.5,62932,2620,2320.15,0,214,0,5972
2024/4/1,19時,95369.45,8404.5,317,13564.5,62358.5,2612.5,2408.95,0,0,0,5691.5
2024/4/1,20時,92449,8407,317,13151,60899.5,2623.5,2453,0,0,0,4622.5
2024/4/1,21時,88983.9,8406.5,317.5,12684.5,58842.5,2620.5,2365.4,0,0,0,3774.5
2024/4/1,22時,85585.95,8406.5,317,12240,56398,2617.5,2278.95,0,0,0,3349.5
2024/4/1,23時,82373.7,8406.5,317,11778.5,53789.5,2621.5,2320.7,0,0,0,3160.5
2024/4/2,0時,77568.55,8408.5,318,11329.5,51459.5,2640.5,2285.55,0,0,0,1186.5
2024/4/2,1時,76669.1,8407,316.5,11639,51339,2641.5,2264.1,0,0,0,125.5
2024/4/2,2時,79177.3,8406,317.5,11799,53099.5,2649,2433.3,0,0,0,510.5
2024/4/2,3時,82269.5,8404,317.5,11990.5,55556,2644,2432.5,0,0,0,954
2024/4/2,4時,84249.5,8405,314.5,12158.5,57559.5,2644,2434.5,0,0,0,769
2024/4/2,5時,85998.2,8402,315.5,12082.5,58692.5,2635,2263.2,0,180.5,0,1457.5
2024/4/2,6時,87175.95,8402,315,12002,55484,2626.5,2143.95,0,4658,0,1578.5
2024/4/2,7時,88087.65,8404.5,317.5,11738,46269,2633.5,2172.65,0,17104.5,0,-515
2024/4/2,8時,95377.4,8402,319,11723,41421.5,2564.5,2277.9,77.5,30261.5,380,-1579.5
2024/4/2,9時,100226.3,8402,317,11524,38096,2477,2290.8,58.5,40260.5,572.5,-3118.5
2024/4/2,10時,100413.15,8398.5,312.5,11293,36130.5,2364,2292.65,80,45110,635,-5471.5
2024/4/2,11時,100060.1,8397.5,314.5,10807.5,37371,2362.5,2209.6,152.5,44352,834,-5738.5
2024/4/2,12時,95028.35,8405.5,313.5,10513,38019.5,2336.5,2044.35,221,39929.5,1006.5,-6493.5
2024/4/2,13時,97813.75,8403.5,314,10809,41646.5,2377,2074.75,196.5,33380,908,-1185
2024/4/2,14時,96566.4,8401,320.5,11297.5,44458,2531.5,2174.9,129.5,26184.5,616,1228.5
2024/4/2,15時,95289.7,8399,319.5,11596.5,49248.5,2598,2023.7,73,18161.5,322.5,2965.5
2024/4/2,16時,96165.65,8402,315.5,12668.5,58644.5,2591.5,1951.65,2,9423,40,2202.5
2024/4/2,17時,95791.55,8402,313,13253.5,64645,2606.5,1810.55,0,2042.5,0,2743
2024/4/2,18時,98612.3,8399,313,13636,68464,2630,1665.3,0,46,0,3488.5
2024/4/2,19時,96699.2,8396,312,13532.5,67500.5,2626,1531.2,0,0.5,0,2831
2024/4/2,20時,93707.5,8403,313.5,13161,66111,2633.5,1398,0,0,0,1718
2024/4/2,21時,89958.1,8405,313.5,12524.5,63886.5,2626,1344.6,0,0,0,885.5
2024/4/2,22時,85984.55,8406.5,314,12202,61060,2629,1220.55,0,0,0,174
2024/4/2,23時,82745.05,8408.5,314.5,11622,58758,2630,1179.05,0,0,0,-136
2024/4/3,0時,78265.45,8405,314.5,11178.5,56323.5,2612,1123.95,0,0,0,-1640.5
2024/4/3,1時,77054.05,8407.5,313,11222.5,57556,2611.5,1140.55,0,0,0,-4128
2024/4/3,2時,79040.8,8406,314,11434.5,58482,2616,1112.3,0,0,0,-3264
2024/4/3,3時,81813.85,8407,314,11697.5,60218,2617,1089.35,0,0,0,-2473.5
2024/4/3,4時,83318.85,8406,315,11966,60738,2610,1131.35,0,0,0,-1814.5
2024/4/3,5時,83852.3,8409,312,11859.5,60545,2607.5,1204.8,0,188.5,0,-1216.5
2024/4/3,6時,85209.7,8408.5,310,11683,60169,2614,1134.2,0,2024.5,0,-1083.5
2024/4/3,7時,89648.4,8408,312.5,11624.5,60619,2636.5,1158.9,0,5908,0,-991
2024/4/3,8時,99504.6,8406,315,11838.5,64932,2670,1156.6,0,9472.5,0,738.5
2024/4/3,9時,105885.8,8406,314,11963.5,67853.5,2660.5,1160.8,0,12511.5,0,1036.5
2024/4/3,10時,106622.45,8405,313.5,11851.5,68195,2652.5,1145.45,0,13188,0,900.5
2024/4/3,11時,106669.3,8406,315,11638,69016,2682.5,1142.3,0,12342.5,0,1156.5
2024/4/3,12時,101513.35,8406,312.5,11480,66189.5,2687.5,1117.35,0,10892.5,0,496
2024/4/3,13時,105525.15,8405.5,313,12036,69957.5,2642.5,1077.15,0,9520.5,0,1621
2024/4/3,14時,105783.1,8407,312.5,12279.5,72213.5,2627,937.1,0,7108,0,1950
2024/4/3,15時,104851.35,8405,311,12543,72840,2606.5,880.35,0,5087,0,2209
2024/4/3,16時,105335.4,8402.5,307,13008,74306.5,2606,882.4,0,2777,0,3064
2024/4/3,17時,104321,8400.5,309.5,13247.5,74302,2602.5,932.5,0,814,0,3716
2024/4/3,18時,104261.9,8397,310.5,13564.5,74703,2608,978.9,0,47.5,0,3665
2024/4/3,19時,101158.55,8399,311.5,13294.5,72949.5,2608,961.55,0,0.5,0,2660
2024/4/3,20時,97531.35,8402.5,311.5,12832,71028,2613.5,881.85,0,0.5,0,1486.5
2024/4/3,21時,93271.55,8403,310,12369.5,67583.5,2613.5,841.55,0,0,0,1181.5
2024/4/3,22時,88782.4,8402,312,12051,63836.5,2612,742.4,0,0,0,866
2024/4/3,23時,84733.8,8403.5,311.5,11740,60210.5,2611,771.8,0,0,0,713.5
2024/4/4,0時,79463.35,8404,310.5,11465.5,57081,2590.5,793.35,0,0,0,-1143
2024/4/4,1時,77522.2,8402,311.5,11587,56669.5,2598.5,758.7,0,0,0,-2757
2024/4/4,2時,79241.7,8406,313,11696,58163,2605,795.2,0,0,0,-2682
2024/4/4,3時,81989.55,8399.5,313,11823.5,59978.5,2613,764.05,0,0,0,-1864.5
2024/4/4,4時,83073.25,8405.5,311.5,11925.5,60258,2616,749.75,0,0.5,0,-1156
2024/4/4,5時,83408.1,8403,312.5,11893,59600,2606.5,735.1,0,147,0,-259.5
2024/4/4,6時,84208.85,8405,313.5,11781.5,57313.5,2593,660.35,0,2738.5,0,426.5
2024/4/4,7時,88533.35,8406,315,11651,56149.5,2612.5,608.35,0,9382,0,-555.5
2024/4/4,8時,95642.2,8405,318,11784.5,53994,2643.5,590.7,0,17624,0,289
2024/4/4,9時,99899,8403,317.5,11731,47914,2577.5,688.5,0,28044,0,222.5
2024/4/4,10時,100890.15,8404.5,321,11739,45063,2546,906.15,0,33290,0,-1360
2024/4/4,11時,100114.05,8403,318.5,11777,43860.5,2509,1058.55,0,35202.5,0,-2993
2024/4/4,12時,94622.35,8404.5,315.5,11404.5,42934.5,2471.5,1281.85,0,33293,0,-5431
2024/4/4,13時,97817.4,8403,317.5,11709.5,47996,2505.5,1626.4,0,29383.5,0,-4092
2024/4/4,14時,97539.85,8406,318,11767,49436,2510.5,1802.85,0,24063,0,-720
2024/4/4,15時,96514.1,8403.5,318.5,12172,53937.5,2607.5,1924.6,0,16830.5,0,365
2024/4/4,16時,96763.35,8407,316.5,12773,60162.5,2631.5,1922.85,0,8779,0,1801
2024/4/4,17時,96422.2,8403.5,312,13139.5,64367.5,2600.5,1844.2,0,2543,0,3246.5
2024/4/4,18時,98900.1,8400,312.5,13624,67778.5,2614,1636.6,0,137.5,0,4402
2024/4/4,19時,97284.1,8401,312.5,13492.5,67626,2614.5,1456.6,0,1,0,3411
2024/4/4,20時,94090,8405,314.5,13008,66051,2621,1398,0,0.5,0,2317.5
2024/4/4,21時,90373.2,8403.5,314,12467.5,63787.5,2618.5,1322.7,0,0,0,1466.5
2024/4/4,22時,86542.7,8403,313.5,12163.5,61013,2615,1236.7,0,0,0,832
2024/4/4,23時,83132.65,8402,313.5,11911.5,58016.5,2616.5,1184.65,0,0,0,711
2024/4/5,0時,78404.65,8404.5,313,11754.5,54029.5,2615,1084.65,0,0,0,245
2024/4/5,1時,77003.3,8405.5,312.5,11784.5,53260.5,2606.5,1146.3,0,0,0,-487.5
2024/4/5,2時,79159.1,8402,314,11876.5,55295.5,2605.5,1220.6,0,0,0,-503.5
2024/4/5,3時,82181.5,8405,314.5,12458,57069,2589,1265.5,0,0,0,135.5
2024/4/5,4時,83783.55,8402.5,313.5,12562,58045,2575.5,1276.05,0,0.5,0,644.5
2024/4/5,5時,84734,8405,314,12239.5,59099.5,2582.5,1253,0,224.5,0,640
2024/4/5,6時,86237.5,8406,314,12283.5,58820.5,2574,1220,0,2720.5,0,-88
2024/4/5,7時,90256.9,8407.5,315.5,12439,56850.5,2576.5,1163.9,0,8503,0,34.5
2024/4/5,8時,99383.05,8406,320,12800.5,57279.5,2608,1198.05,43,15289,312.5,1490
2024/4/5,9時,104848.65,8405.5,319,12569,56976,2496,1289.15,42.5,21262,447.5,1550.5
2024/4/5,10時,104258.7,8405,317.5,12046.5,55098.5,2319,1297.2,62.5,24389.5,506,402.5
2024/4/5,11時,103083.3,8405,317,11900,54828,2310.5,1233.3,70,25062,521.5,-892.5
2024/4/5,12時,97259.3,8406,316,11745.5,52125,2323,1159.3,64,24687.5,514.5,-3384
2024/4/5,13時,100641.7,8404,319,12027.5,54819,2323.5,1098.7,62,23286,488,-1623
2024/4/5,14時,100427.95,8405.5,319.5,12382.5,56242,2375,1092.95,63,19503.5,407.5,145.5
2024/4/5,15時,99425.6,8408,318.5,12741.5,58859,2484.5,1042.6,52.5,14827.5,279.5,754
2024/4/5,16時,100135.85,8403.5,313,13400.5,62643,2526.5,999.35,0,9042,0,2818
2024/4/5,17時,99982.55,8400.5,313.5,13714.5,67297,2524.5,945.55,0,3115,0,3697
2024/4/5,18時,101488,8400,313.5,13878,71109,2536.5,949,0,189.5,0,4108
2024/4/5,19時,99830.5,8403,312,13672.5,71043.5,2532,911,0,0,0,2988
2024/4/5,20時,96641.5,8403.5,313.5,13314,69398.5,2535,854.5,0,0,0,1848.5
2024/4/5,21時,92505.5,8407.5,315,12631.5,66430.5,2535,761.5,0,0,0,1448
2024/4/5,22時,88762,8404,313.5,12001.5,63627,2537,666,0,0,0,1243
2024/4/5,23時,85310.5,8403.5,313.5,11762.5,60570,2541,598,0,0,0,1147.5
2024/4/6,0時,79932.5,8404,314,11587.5,56024.5,2520.5,697,0,0,0,425.5
2024/4/6,1時,77901,8402,313,11709,54722.5,2522.5,676,0,0,0,-407
2024/4/6,2時,79451,8402.5,313.5,11941.5,56044.5,2521.5,654.5,0,0,0,-392.5
2024/4/6,3時,81915.5,8401.5,314,12405,57803.5,2522.5,628,0,0,0,-141.5
2024/4/6,4時,82662.5,8406,313,12390.5,58380.5,2518,644.5,0,0,0,13.5
