※一般送配電事業者各社の公表データを元に作成しています,,,,,,,,,,,,,,,,,
※四捨五入等の関係で合計が合わないことがあります,,,,,,,,,,,,,,,,,
単位[MWh],,,,,,,,,,,,,,,,,
月日,時刻,需要,原子力,地熱,水力,火力,バイオマス,風力実績,風力抑制量,太陽光実績,太陽光抑制量,揚水,,,,,
2025/2/1,0:00,"100,498 ","11,224 ",347 ,"3,878 ","79,592 ","3,276 ","2,262 ",0 ,1 ,0 ,-107 ,,,,,
2025/2/1,1:00,"98,021 ","11,218 ",347 ,"3,712 ","77,977 ","3,220 ","2,205 ",0 ,1 ,0 ,-680 ,,,,,
2025/2/1,2:00,"98,424 ","11,224 ",346 ,"3,701 ","78,773 ","3,217 ","2,116 ",0 ,2 ,0 ,-970 ,,,,,
2025/2/1,3:00,"98,845 ","11,218 ",348 ,"3,771 ","78,892 ","3,170 ","2,095 ",0 ,2 ,0 ,-672 ,,,,,
2025/2/1,4:00,"98,330 ","11,219 ",346 ,"3,812 ","78,462 ","3,169 ","1,987 ",0 ,1 ,0 ,-674 ,,,,,
2025/2/1,5:00,"98,732 ","11,225 ",347 ,"4,169 ","78,474 ","3,158 ","1,996 ",0 ,1 ,0 ,-659 ,,,,,
2025/2/1,6:00,"102,344 ","11,221 ",347 ,"4,613 ","80,918 ","3,158 ","1,848 ",0 ,13 ,0 ,214 ,,,,,
2025/2/1,7:00,"108,027 ","11,224 ",347 ,"4,904 ","83,238 ","3,155 ","1,894 ",0 ,"2,496 ",0 ,747 ,,,,,
2025/2/1,8:00,"112,995 ","11,224 ",352 ,"4,767 ","79,864 ","3,221 ","1,918 ",0 ,"11,729 ",0 ,-110 ,,,,,
2025/2/1,9:00,"112,765 ","11,222 ",358 ,"3,755 ","70,261 ","3,302 ","1,991 ",0 ,"22,281 ",0 ,-457 ,,,,,
2025/2/1,10:00,"108,880 ","11,227 ",360 ,"3,344 ","60,964 ","3,337 ","1,944 ",0 ,"29,608 ",0 ,"-1,919 ",,,,,
2025/2/1,11:00,"106,230 ","11,222 ",359 ,"3,220 ","58,692 ","3,334 ","1,947 ",0 ,"31,006 ",0 ,"-3,570 ",,,,,
2025/2/1,12:00,"103,224 ","11,224 ",358 ,"3,252 ","60,007 ","3,310 ","1,978 ",0 ,"27,152 ",0 ,"-4,089 ",,,,,
2025/2/1,13:00,"103,593 ","11,223 ",357 ,"3,342 ","63,027 ","3,308 ","1,871 ",0 ,"21,531 ",0 ,"-1,092 ",,,,,
2025/2/1,14:00,"102,688 ","11,226 ",354 ,"3,514 ","67,425 ","3,269 ","1,760 ",0 ,"13,173 ",0 ,"1,951 ",,,,,
2025/2/1,15:00,"102,565 ","11,223 ",347 ,"3,899 ","74,133 ","3,146 ","1,664 ",0 ,"6,010 ",0 ,"2,126 ",,,,,
2025/2/1,16:00,"106,642 ","11,224 ",343 ,"5,555 ","82,340 ","3,097 ","1,516 ",0 ,"1,305 ",0 ,"1,230 ",,,,,
2025/2/1,17:00,"112,091 ","11,219 ",343 ,"6,602 ","88,121 ","3,100 ","1,359 ",0 ,80 ,0 ,"1,250 ",,,,,
2025/2/1,18:00,"113,559 ","11,217 ",344 ,"6,877 ","89,248 ","3,099 ","1,316 ",0 ,5 ,0 ,"1,434 ",,,,,
2025/2/1,19:00,"112,010 ","11,222 ",344 ,"6,425 ","88,437 ","3,105 ","1,225 ",0 ,4 ,0 ,"1,235 ",,,,,
2025/2/1,20:00,"109,440 ","11,217 ",344 ,"5,534 ","87,268 ","3,105 ","1,146 ",0 ,4 ,0 ,794 ,,,,,
2025/2/1,21:00,"105,273 ","11,220 ",345 ,"4,728 ","84,409 ","3,099 ","1,049 ",0 ,4 ,0 ,404 ,,,,,
2025/2/1,22:00,"99,533 ","11,223 ",345 ,"4,169 ","79,571 ","3,104 ",917 ,0 ,4 ,0 ,181 ,,,,,
2025/2/1,23:00,"95,282 ","11,220 ",345 ,"3,971 ","75,760 ","3,103 ",773 ,0 ,4 ,0 ,93 ,,,,,
2025/2/2,0:00,"90,284 ","11,220 ",345 ,"3,374 ","71,975 ","3,102 ",660 ,0 ,4 ,0 ,-415 ,,,,,
2025/2/2,1:00,"88,432 ","11,216 ",346 ,"3,323 ","70,470 ","3,103 ",560 ,0 ,4 ,0 ,-603 ,,,,,
2025/2/2,2:00,"89,506 ","11,223 ",346 ,"3,382 ","71,514 ","3,110 ",509 ,0 ,5 ,0 ,-590 ,,,,,
2025/2/2,3:00,"90,821 ","11,218 ",345 ,"3,586 ","72,491 ","3,098 ",511 ,0 ,5 ,0 ,-430 ,,,,,
2025/2/2,4:00,"91,030 ","11,217 ",346 ,"3,774 ","72,546 ","3,085 ",485 ,0 ,4 ,0 ,-425 ,,,,,
